"FAOSTAT_name","LPJmL_name","comments"
"Almonds, in shell","Others, perennial",
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Others, annual",
"Apples","Others, perennial",
"Apricots","Others, perennial",
"Barley","temperate cereals",
"Other berries and fruits of the genus vaccinium n.e.c.","Others, perennial","Others annual in MIRCA"
"Figs","Others, perennial",
"Other citrus fruit, n.e.c.","Others, perennial",
"Other fruits, n.e.c.","Others, perennial",
"Other stone fruits","Others, perennial",
"Grapes","Others, perennial",
"Linseed","Others, annual",
"Maize (corn)","maize",
"Cantaloupes and other melons","Others, annual",
"Millet","tropical cereals",
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Others, perennial",
"Olives","Others, perennial",
"Onions and shallots, dry (excluding dehydrated)","Others, annual",
"Oranges","Others, perennial",
"Peaches and nectarines","Others, perennial",
"Pears","Others, perennial",
"Pistachios, in shell","Others, perennial",
"Plums and sloes","Others, perennial",
"Potatoes","temperate roots",
"Other pulses n.e.c.","pulses",
"Rice","rice",
"Seed cotton, unginned","Others, annual",
"Sesame seed","Others, annual",
"Other stimulant, spice and aromatic crops, n.e.c.","Others, annual",
"Sugar beet","temperate roots",
"Sugar cane","sugarcane",
"Sunflower seed","oil crops sunflower",
"Other vegetables, fresh n.e.c.","Others, annual",
"Walnuts, in shell","Others, perennial",
"Watermelons","Others, annual",
"Wheat","temperate cereals",
"Beans, dry","pulses",
"Other beans, green","pulses","Others annual in MIRCA"
"Broad beans and horse beans, dry","pulses",
"Cabbages","Others, annual",
"Carrots and turnips","temperate roots",
"Cauliflowers and broccoli","Others, annual",
"Cherries","Others, perennial",
"Sour cherries","Others, perennial",
"Chestnuts, in shell","Others, perennial",
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Others, annual",
"Cucumbers and gherkins","Others, annual",
"Dates","Others, perennial",
"Eggplants (aubergines)","Others, annual",
"Green garlic","Others, annual",
"Hop cones","Others, annual",
"Leeks and other alliaceous vegetables","Others, annual","not in Monfreda/MIRCA"
"Lemons and limes","Others, perennial",
"Lettuce and chicory","Others, annual",
"Mushrooms and truffles","Others, annual",
"Oats","Others, annual","switch to temperate cereals?"
"Okra","Others, annual",
"Onions and shallots, green","Others, annual",
"Peas, green","pulses","Others annual in MIRCA"
"Pumpkins, squash and gourds","Others, annual",
"Quinces","Others, perennial",
"Rye","temperate cereals",
"Sorghum","tropical cereals",
"Soya beans","oil crops soybean",
"Spinach","Others, annual",
"Tangerines, mandarins, clementines","Others, perennial",
"Unmanufactured tobacco","Others, annual",
"Tomatoes","Others, annual",
"Other pulses n.e.c.","pulses","Others annual in MIRCA"
"Vetches","pulses",
"Artichokes","Others, annual",
"Bananas","Others, perennial",
"Locust beans (carobs)","Others, perennial",
"Chick peas, dry","pulses",
